,filename,image_red_std,image_red_mean,image_green_std,image_green_mean,image_blue_std,image_blue_mean,TP_cls_0,FP_cls_0,FN_cls_0,TN_cls_0,IoU_cls_0,accuracy_cls_0,count_cls_gt_0,count_cls_pred_0,TP_cls_1,FP_cls_1,FN_cls_1,TN_cls_1,IoU_cls_1,accuracy_cls_1,count_cls_gt_1,count_cls_pred_1,TP_cls_2,FP_cls_2,FN_cls_2,TN_cls_2,IoU_cls_2,accuracy_cls_2,count_cls_gt_2,count_cls_pred_2,TP_cls_3,FP_cls_3,FN_cls_3,TN_cls_3,IoU_cls_3,accuracy_cls_3,count_cls_gt_3,count_cls_pred_3
0,X3-EEG1377.YUV.DAT.20221020.154251_FV_101,22.204396051076362,44.02708333333334,22.41080564812825,43.9921875,22.27495863701695,44.53489583333334,44931,12672,7074,202075,0.6946982698640939,0.9259761876199616,52005,57603,40752,43601,15020,167379,0.4100912722771779,0.780241572696737,55772,84353,94036,24486,37280,110950,0.6035609298982041,0.7684515954894434,131316,118522,6274,0,21385,239093,0.22683394193571713,0.9198319037907869,27659,6274
1,X3-EEG1377.YUV.DAT.20221020.154251_FV_111,22.463093246487944,43.959635416666664,22.794984498603153,43.805989583333336,22.264319063492657,44.77734375,46890,13742,5115,201005,0.7131884344532831,0.9293088711612284,52005,60632,40478,43941,15294,167039,0.4059450623288839,0.7779398092610365,55772,84419,91670,23778,39646,111658,0.5910609049995487,0.7622360844529751,131316,115448,6253,0,21406,239093,0.2260746953975198,0.9197531789827256,27659,6253
2,X3-EEG1377.YUV.DAT.20221020.154251_FV_11,27.625711595088056,47.91927083333334,28.312542138029716,48.071875,28.409976749436762,48.68411458333333,44233,13556,7772,201191,0.6746846448345816,0.9200455854126679,52005,57789,38582,45858,17190,165122,0.3796319984256617,0.7636456333973128,55772,84440,92058,21224,39258,114212,0.6035007211223286,0.7732650551823417,131316,113282,11083,158,16576,238935,0.39842542330229713,0.9372675743761996,27659,11241
3,X3-EEG1377.YUV.DAT.20221020.154251_FV_121,22.41001507742463,43.991145833333334,22.782916568496645,43.77369791666667,22.340594856632112,44.342187499999994,47577,14690,4428,200057,0.7133518254741735,0.9283304342610365,52005,62267,40074,45537,15698,165443,0.3955620922129327,0.7704422084932822,55772,85611,89296,23160,42020,112276,0.5780574328698309,0.7556531909788867,131316,112456,6418,0,21241,239093,0.2320402039119274,0.9203717310460653,27659,6418
4,X3-EEG1377.YUV.DAT.20221020.154251_FV_131,23.130657316100887,44.50598958333333,23.688199467236124,44.18802083333333,23.49500583978114,44.825260416666666,47786,16234,4219,198513,0.7002740368411026,0.9233257857485605,52005,64020,39131,47019,16641,163961,0.38068507943302426,0.7613513675623801,55772,86150,87530,22413,43786,113023,0.5693785817900331,0.7518331633877159,131316,109943,6639,0,21020,239093,0.2400303698615279,0.9212002159309021,27659,6639
5,X3-EEG1377.YUV.DAT.20221020.154251_FV_141,23.090754448759622,44.248697916666664,23.475012751584735,44.225520833333334,23.112891136643547,44.97734375,47851,17024,4154,197723,0.6932014081038405,0.9206079054702495,52005,64875,39263,48163,16509,162817,0.3777649492471256,0.7575575815738963,55772,87426,86169,21819,45147,113617,0.5626995788030169,0.7489578334932822,131316,107988,6463,0,21196,239093,0.23366716077949312,0.9205404270633397,27659,6463
6,X3-EEG1377.YUV.DAT.20221020.154251_FV_151,23.909776377305587,43.81406249999999,24.252659413917083,43.80859375,23.77640267473053,44.704427083333336,49622,15852,2383,198895,0.7312731184697231,0.931640625,52005,65474,40429,49101,15343,161879,0.3855043719546499,0.7584123080614203,55772,89530,83732,21823,47584,113613,0.5467712339769751,0.739807011756238,131316,105555,6193,0,21466,239093,0.22390541957409885,0.9195282509596929,27659,6193
7,X3-EEG1377.YUV.DAT.20221020.154251_FV_161,24.19654398078679,44.368229166666666,24.832581079341427,44.100520833333334,24.94235583983673,44.70911458333333,50380,15526,1625,199221,0.7460277502184182,0.9357043246161229,52005,65906,40740,49694,15032,161286,0.38628562759562324,0.757355146353167,55772,90434,82445,21676,48871,113760,0.5388843861116921,0.7355333793186181,131316,104121,6291,0,21368,239093,0.2274485700856864,0.9198956333973128,27659,6291
8,X3-EEG1377.YUV.DAT.20221020.154251_FV_171,23.853719428121803,42.46666666666667,24.08719217926034,42.35338541666666,23.917635701006102,43.415625000000006,50477,14990,1528,199757,0.7534442868870811,0.9380773152591171,52005,65467,41144,48782,14628,162198,0.3935191384356409,0.7622885676583493,55772,89926,83457,21683,47859,113753,0.5454741534258394,0.7393009237044146,131316,105140,6219,0,21440,239093,0.22484543909758126,0.9196257197696737,27659,6219
9,X3-EEG1377.YUV.DAT.20221020.154251_FV_181,24.16132364915172,41.76901041666666,24.44939494841624,41.59817708333333,24.381354728029848,42.51796875,49801,14351,2204,200396,0.750512387726807,0.9379386096449136,52005,64152,41961,48397,13811,162583,0.4028165769086772,0.7667946257197696,55772,90358,84461,21145,46855,114291,0.5539842976236545,0.7450815738963532,131316,105606,6636,0,21023,239093,0.23992190607035685,0.9211889695297505,27659,6636
